Rank, Show Name, IMDb Rating, Show Link
"157", "The Jinx: The Life and Deaths of Robert Durst", "8.6", "https://www.imdb.com/title/tt4299972/"
"158", "The Offer", "8.6", "https://www.imdb.com/title/tt13111040/"
"159", "Sarangeui bulsachak", "8.7", "https://www.imdb.com/title/tt10850932/"
"160", "Haikyû!!", "8.7", "https://www.imdb.com/title/tt3398540/"
"161", "The Return of Sherlock Holmes", "8.7", "https://www.imdb.com/title/tt0090509/"
"162", "Gomorrah", "8.6", "https://www.imdb.com/title/tt2049116/"
"163", "Blackadder the Third", "8.6", "https://www.imdb.com/title/tt0092324/"
"164", "Scavengers Reign", "8.6", "https://www.imdb.com/title/tt21056886/"
"165", "Yes Minister", "8.6", "https://www.imdb.com/title/tt0080306/"
"166", "Greatest Events of WWII in Colour", "8.6", "https://www.imdb.com/title/tt9103932/"
"167", "Anne with an E", "8.6", "https://www.imdb.com/title/tt5421602/"
"168", "Archer", "8.6", "https://www.imdb.com/title/tt1486217/"
"169", "The Newsroom", "8.6", "https://www.imdb.com/title/tt1870479/"
"170", "Dopesick", "8.6", "https://www.imdb.com/title/tt9174558/"
"171", "Boardwalk Empire", "8.6", "https://www.imdb.com/title/tt0979432/"
"172", "Le bureau des légendes", "8.7", "https://www.imdb.com/title/tt4063800/"
"173", "Mystery Science Theater 3000", "8.6", "https://www.imdb.com/title/tt0094517/"
"174", "Kimetsu no Yaiba", "8.6", "https://www.imdb.com/title/tt9335498/"
"175", "Homicide: Life on the Street", "8.7", "https://www.imdb.com/title/tt0106028/"
"176", "Pose", "8.6", "https://www.imdb.com/title/tt7562112/"
"177", "Young Justice", "8.6", "https://www.imdb.com/title/tt1641384/"
"178", "QI", "8.6", "https://www.imdb.com/title/tt0380136/"
"179", "Justified", "8.6", "https://www.imdb.com/title/tt1489428/"
"180", "El Chavo del Ocho", "8.7", "https://www.imdb.com/title/tt0229889/"
"181", "The Bugs Bunny Show", "8.6", "https://www.imdb.com/title/tt0053488/"
"182", "Dragon Ball: Doragon bôru", "8.5", "https://www.imdb.com/title/tt0088509/"
"183", "What We Do in the Shadows", "8.6", "https://www.imdb.com/title/tt7908628/"
"184", "The Haunting of Hill House", "8.5", "https://www.imdb.com/title/tt6763664/"
"185", "Battlestar Galactica", "8.5", "https://www.imdb.com/title/tt0314979/"
"186", "Endeavour", "8.6", "https://www.imdb.com/title/tt2701582/"
"187", "Justice League", "8.5", "https://www.imdb.com/title/tt0275137/"
"188", "Flight of the Conchords", "8.5", "https://www.imdb.com/title/tt0863046/"
"189", "Dragon Ball", "8.5", "https://www.imdb.com/title/tt0280249/"
"190", "Samurai Chanpurû", "8.5", "https://www.imdb.com/title/tt0423731/"
"191", "The Venture Bros.", "8.6", "https://www.imdb.com/title/tt0417373/"
"192", "Yes, Prime Minister", "8.6", "https://www.imdb.com/title/tt0086831/"
"193", "The IT Crowd", "8.5", "https://www.imdb.com/title/tt0487831/"
"194", "Yeh Meri Family", "8.9", "https://www.imdb.com/title/tt8595766/"
"195", "The Queen&apos;s Gambit", "8.5", "https://www.imdb.com/title/tt10048342/"
"196", "Mr. Robot", "8.5", "https://www.imdb.com/title/tt4158110/"
"197", "Rocket Boys", "8.8", "https://www.imdb.com/title/tt13868972/"
"198", "Coupling", "8.5", "https://www.imdb.com/title/tt0237123/"
"199", "Senke nad Balkanom", "8.8", "https://www.imdb.com/title/tt6108262/"
"200", "Making a Murderer", "8.5", "https://www.imdb.com/title/tt5189670/"
"201", "Ore dake Level Up na Ken", "8.6", "https://www.imdb.com/title/tt21209876/"
"202", "Samurai Jack", "8.5", "https://www.imdb.com/title/tt0278238/"
"203", "I&apos;m Alan Partridge", "8.6", "https://www.imdb.com/title/tt0129690/"
"204", "The Bear", "8.5", "https://www.imdb.com/title/tt14452776/"
"205", "Yellowstone", "8.6", "https://www.imdb.com/title/tt4236770/"
"206", "Happy Valley", "8.5", "https://www.imdb.com/title/tt3428912/"
"207", "Critical Role", "9", "https://www.imdb.com/title/tt4834232/"
"208", "Detectorists", "8.6", "https://www.imdb.com/title/tt4082744/"
"209", "Spaced", "8.5", "https://www.imdb.com/title/tt0187664/"
"210", "Impractical Jokers", "8.6", "https://www.imdb.com/title/tt2100976/"
"211", "Ezel", "8.6", "https://www.imdb.com/title/tt1534360/"
"212", "Regular Show", "8.6", "https://www.imdb.com/title/tt1710308/"
"213", "Jujutsu Kaisen", "8.5", "https://www.imdb.com/title/tt12343534/"
"214", "Long Way Round", "8.6", "https://www.imdb.com/title/tt0403778/"
"215", "Spartacus", "8.5", "https://www.imdb.com/title/tt1442449/"
"216", "Whose Line Is It Anyway?", "8.5", "https://www.imdb.com/title/tt0163507/"
"217", "Twin Peaks", "8.5", "https://www.imdb.com/title/tt4093826/"
"218", "Derry Girls", "8.5", "https://www.imdb.com/title/tt7120662/"
"219", "Sons of Anarchy", "8.5", "https://www.imdb.com/title/tt1124373/"
"220", "Mob Psycho 100", "8.5", "https://www.imdb.com/title/tt5897304/"
"221", "Louie", "8.5", "https://www.imdb.com/title/tt1492966/"
"222", "Through the Wormhole", "8.6", "https://www.imdb.com/title/tt1513168/"
"223", "The Office", "8.5", "https://www.imdb.com/title/tt0290978/"
"224", "Shinseiki Evangelion", "8.5", "https://www.imdb.com/title/tt0112159/"
"225", "The Eric Andre Show", "8.5", "https://www.imdb.com/title/tt2244495/"
"226", "Trailer Park Boys", "8.5", "https://www.imdb.com/title/tt0290988/"
"227", "Spartacus: Gods of the Arena", "8.5", "https://www.imdb.com/title/tt1758429/"
"228", "L&apos;amica geniale", "8.6", "https://www.imdb.com/title/tt7278862/"
"229", "Hwan Hon", "8.7", "https://www.imdb.com/title/tt20859920/"
"230", "Brass Eye", "8.6", "https://www.imdb.com/title/tt0118273/"
"231", "Silicon Valley", "8.5", "https://www.imdb.com/title/tt2575988/"
"232", "Schitt$ Creek", "8.5", "https://www.imdb.com/title/tt3526078/"
"233", "Futurama", "8.5", "https://www.imdb.com/title/tt0149460/"
"234", "The Expanse", "8.5", "https://www.imdb.com/title/tt3230854/"
"235", "Hagane no renkinjutsushi", "8.5", "https://www.imdb.com/title/tt0421357/"
"236", "Shameless", "8.5", "https://www.imdb.com/title/tt1586680/"
"237", "North &amp; South", "8.5", "https://www.imdb.com/title/tt0417349/"
"238", "All Creatures Great &amp; Small", "8.6", "https://www.imdb.com/title/tt10590066/"
